# question_id|K/D|drop_category|required_content(;)|evidence(code:ST/EX/CE/AC:reason ;; ...)|out_of_scope_dependency(;)|rationale|review_reasons(;)
# 공식 교육과정 최종 감사 의미 판정 기록 (pilot 30 + batch 231, 선지 포함 원문 판독)
2016_SEPTEMBER_Q09|K||정보 격차와 정보 복지(정보 소외 계층 지원)|1-05-02:EX:해설이 '정보 격차'를 새로운 사회문제로 명시;;2-02-03:EX:사회적 약자 차별과 사회 복지 제도||정보 소외 계층의 격차 해소와 공적 지원 판단은 해설 명시 개념으로 직접 해결됨.|
2015_CSAT_Q02|K||지적 재산권 보호 vs 정보 공유가 정보 격차에 미치는 영향|1-05-02:EX:정보 격차를 새로운 사회문제로 명시||좌표 항목 중 '정보 격차 완화 가능성'을 포함해 제시문 비교로 판단 가능; 지적 재산권 논쟁 소재는 경계.|정보 윤리 소재 경계;좌표 그림 OCR 손상
2015_JUNE_Q07|K||사이버 일탈 해결 방안(자율적 규제 vs 구조적 규제)|1-05-02:EX:정보화에 따른 새로운 사회문제 파악과 해결 방안 모색||규제 방식에 대한 관점 간 비판 방향 판단은 정보화 문제 해결 방안 비교로 제시문 안에서 해결됨.|좌표 도식 OCR 손상(이미지 확인 필요)
2015_SEPTEMBER_Q08|D|INFO_ETHICS|정보 공유론 vs 정보 사유론(지적 재산권)||정보 윤리의 정보 소유권 논쟁(카피레프트 vs 카피라이트) 세부|정답이 정보를 공유 자산/사유 재산으로 보는 정보 윤리 이론 구분으로 결정되며, 교육과정 원문·해설에 정보 소유권 논쟁은 없음.|정보 격차 선지 일부 포함
2016_JUNE_Q18|D|INFO_ETHICS|정보 공유론 vs 정보 사유론(지적 재산권)||정보 윤리의 정보 소유권 논쟁(카피레프트 vs 카피라이트) 세부|정답이 정보를 공유 자산/사유 재산으로 보는 정보 윤리 이론 구분으로 결정되며, 교육과정 원문·해설에 정보 소유권 논쟁은 없음.|정보 격차 선지 일부 포함
2019_SEPTEMBER_Q02|D|INFO_ETHICS|정보 공유론 vs 정보 사유론(지적 재산권)||정보 윤리의 정보 소유권 논쟁(카피레프트 vs 카피라이트) 세부|정답이 정보를 공유 자산/사유 재산으로 보는 정보 윤리 이론 구분으로 결정되며, 교육과정 원문·해설에 정보 소유권 논쟁은 없음.|정보 격차 선지 일부 포함
2018_SEPTEMBER_Q10|D|INFO_ETHICS|노동 소유론에 따른 지적 재산권 입장||로크 노동 소유론;지적 재산권 윤리 세부|정답이 로크 노동 소유론을 지적 재산에 적용하는 사상 지식으로 결정되어 교육과정 범위를 벗어남.|
2020_SEPTEMBER_Q13|D|INFO_ETHICS|사이버 자아·다중 정체성||사이버 공간 자아 정체성 이론(정보 윤리)|정답(사이버 공간은 자아 정체성을 모색하는 공간)이 정보 윤리의 사이버 자아 논의로 결정되며 교육과정의 생활양식 변화·새로운 사회문제 범위와 직접 대응하지 않음.|제시문 독해로 추론 가능
2017_CSAT_Q12|K||사이버 공간 익명성·악성 댓글 문제와 규제(표현의 자유 vs 해악 방지)|1-05-02:EX:정보화로 나타나는 새로운 사회문제와 해결 방안;;2-01-01:ST:현대 사회 인권의 확장(표현의 자유)||익명성·악성 댓글 해결 방식에 대한 입장 판단은 정보화 문제 해결 방안과 표현의 자유 보장으로 판단 가능.|익명성 문제는 해설 예시(정보 격차 등)에 직접 열거되지 않음
2017_SEPTEMBER_Q20|K||사이버 공간 익명성·악성 댓글 문제와 규제(표현의 자유 vs 해악 방지)|1-05-02:EX:정보화로 나타나는 새로운 사회문제와 해결 방안;;2-01-01:ST:현대 사회 인권의 확장(표현의 자유)||익명성·악성 댓글 해결 방식에 대한 입장 판단은 정보화 문제 해결 방안과 표현의 자유 보장으로 판단 가능.|익명성 문제는 해설 예시(정보 격차 등)에 직접 열거되지 않음
2021_JUNE_Q14|K||사이버 공간 익명성·악성 댓글 문제와 규제(표현의 자유 vs 해악 방지)|1-05-02:EX:정보화로 나타나는 새로운 사회문제와 해결 방안;;2-01-01:ST:현대 사회 인권의 확장(표현의 자유)||익명성·악성 댓글 해결 방식에 대한 입장 판단은 정보화 문제 해결 방안과 표현의 자유 보장으로 판단 가능.|익명성 문제는 해설 예시(정보 격차 등)에 직접 열거되지 않음
2017_JUNE_Q06|K||잊힐 권리·개인 정보 자기 결정권 등 정보 인권|2-01-01:ST:현대 사회에서 다양한 영역으로 인권이 확장되는 사례;;1-05-02:EX:정보화로 나타나는 새로운 사회문제||정보화 속 개인 정보 침해와 새로운 권리(잊힐 권리·정보 자기 결정권) 판단은 인권 확장 사례로 직접 해결됨.|
2022_JUNE_Q13|K||잊힐 권리·개인 정보 자기 결정권 등 정보 인권|2-01-01:ST:현대 사회에서 다양한 영역으로 인권이 확장되는 사례;;1-05-02:EX:정보화로 나타나는 새로운 사회문제||정보화 속 개인 정보 침해와 새로운 권리(잊힐 권리·정보 자기 결정권) 판단은 인권 확장 사례로 직접 해결됨.|
2023_CSAT_Q03|K||잊힐 권리·개인 정보 자기 결정권 등 정보 인권|2-01-01:ST:현대 사회에서 다양한 영역으로 인권이 확장되는 사례;;1-05-02:EX:정보화로 나타나는 새로운 사회문제||정보화 속 개인 정보 침해와 새로운 권리(잊힐 권리·정보 자기 결정권) 판단은 인권 확장 사례로 직접 해결됨.|
2020_CSAT_Q13|K||정보 통신 기술과 감시·전자 민주주의(시민 정치 참여)|1-05-02:EX:정보화에 따른 생활양식 변화;;2-01-02:ST:시민 권익 보호를 위한 다양한 시민 참여의 방안||정보 기술 발달이 정치 참여와 감시에 미치는 영향 판단은 생활양식 변화와 시민 참여 개념으로 해결됨.|
2023_JUNE_Q16|K||정보 통신 기술과 감시·전자 민주주의(시민 정치 참여)|1-05-02:EX:정보화에 따른 생활양식 변화;;2-01-02:ST:시민 권익 보호를 위한 다양한 시민 참여의 방안||정보 기술 발달이 정치 참여와 감시에 미치는 영향 판단은 생활양식 변화와 시민 참여 개념으로 해결됨.|
2022_CSAT_Q13|K||뉴미디어 허위 정보 문제와 미디어 리터러시|1-05-02:EX:통신 발달·정보화에 따른 생활양식 변화와 새로운 사회문제 해결||허위·유해 정보 문제와 책임 있는 이용 판단은 정보화 문제 해결 방안으로 직접 해결됨.|
2023_SEPTEMBER_Q14|D|INFO_ETHICS|카피레프트 개념의 정확한 의미||카피레프트 정보 공유 운동의 세부 개념(저작권 기반의 자유 이용 허락)|정보 불평등을 소재로 하나 정답이 카피레프트 운동의 정의를 아는지로 결정되어 교육과정의 정보 격차 해결 범위를 넘어섬.|제시문 독해로 일부 추론 가능
2024_JUNE_Q11|K||정보 격차와 정보 접근권 보장|1-05-02:EX:해설이 '정보 격차'를 새로운 사회문제로 명시;;2-02-03:ST:정의로운 사회를 위한 제도 방안||정보 불평등 해소를 위한 평등한 접근권 판단은 해설 명시 개념으로 직접 해결됨.|
2024_SEPTEMBER_Q04|K||인공지능 안면 인식 기술과 사생활 침해 쟁점|1-05-02:EX:정보화 및 제4차 산업 혁명으로 나타나는 생활양식 변화와 새로운 사회문제;;2-05-03:EX:과학기술의 발전에 따른 공간과 삶의 변화 예측||인공지능 기술 활용과 사생활 침해 쟁점은 제4차 산업 혁명에 따른 사회문제로 판단 가능.|
2025_SEPTEMBER_Q14|K||1인 미디어 확산에 따른 유해 정보 문제와 비판적 수용|1-05-02:EX:정보화로 나타나는 새로운 사회문제와 해결 방안||뉴미디어 확산에 따른 사생활 침해·유해 정보 문제와 매체 이용자의 비판적 평가로 판단 가능.|
2026_JUNE_Q11|K||인터넷에서의 표현의 자유 보장 논거|2-01-01:ST:인권의 의미와 확장;;1-05-02:EX:정보화에 따른 생활양식 변화와 문제||칼럼 제시문에서 표현의 자유 보장의 가치를 추론하는 문항으로 인권(표현의 자유)과 정보화 쟁점으로 판단 가능; 밀의 논증 세부 지식은 제시문에 주어짐.|밀 사상 제시문 사용
2027_SEPTEMBER_Q16|K||정보 사회 감시(전자 판옵티콘)와 개인 자유 위축|1-05-02:EX:정보화로 나타나는 새로운 사회문제;;2-01-01:ST:인권 보장||정보 사회 감시 구조의 문제 판단은 정보화에 따른 사회문제와 인권 침해로 해결됨.|
2018_CSAT_Q20|K||인권의 범위(자유권·참정권 vs 사회권 포함)|2-01-01:ST:근대 시민 혁명 등을 통해 확립되어 온 인권의 의미와 변화 양상;;2-01-01:CE:내용 요소 '인권'||인권을 소극적 권리로 한정하는 입장과 사회권까지 포함하는 입장의 구분은 인권의 의미와 변화 양상에 직접 대응.|
2017_CSAT_Q08|K||시민 불복종의 일반적 성립 요건(공개성·비폭력·위법성·체제 인정·양심·정의감 호소)과 개인 양심 우선 입장|2-01-02:EX:시민불복종을 비롯한 시민 참여의 다양한 방안;;2-01-02:ST:시민의 권익을 보호하기 위한 시민 참여||정답 판단이 시민 불복종의 일반 요건(비폭력, 법 충실성, 체제 인정, 처벌 감수)과 제시문에 주어진 양심 우선 입장으로 해결되며 롤스 정의 원칙 세부는 필수 아님.|롤스·소로 사상가 제시문 사용
2017_JUNE_Q16|K||시민 불복종의 일반적 성립 요건(공개성·비폭력·위법성·체제 인정·양심·정의감 호소)과 개인 양심 우선 입장|2-01-02:EX:시민불복종을 비롯한 시민 참여의 다양한 방안;;2-01-02:ST:시민의 권익을 보호하기 위한 시민 참여||정답 판단이 시민 불복종의 일반 요건(비폭력, 법 충실성, 체제 인정, 처벌 감수)과 제시문에 주어진 양심 우선 입장으로 해결되며 롤스 정의 원칙 세부는 필수 아님.|롤스·소로 사상가 제시문 사용
2018_JUNE_Q12|K||시민 불복종의 일반적 성립 요건(공개성·비폭력·위법성·체제 인정·양심·정의감 호소)과 개인 양심 우선 입장|2-01-02:EX:시민불복종을 비롯한 시민 참여의 다양한 방안;;2-01-02:ST:시민의 권익을 보호하기 위한 시민 참여||정답 판단이 시민 불복종의 일반 요건(비폭력, 법 충실성, 체제 인정, 처벌 감수)과 제시문에 주어진 양심 우선 입장으로 해결되며 롤스 정의 원칙 세부는 필수 아님.|롤스·소로 사상가 제시문 사용
2018_CSAT_Q03|K||시민 불복종의 일반적 성격(공개적·비폭력적 위법 행위, 정책 변화 목적, 민주적 법도 대상 가능)|2-01-02:EX:시민불복종을 비롯한 시민 참여의 다양한 방안;;2-01-02:ST:시민의 권익 보호를 위한 시민 참여||정답이 시민 불복종의 기본 성격(공개성·비폭력·정책 개혁 목적·다수의 정의감 호소)으로 판단되어 시민 참여로서의 시민 불복종 이해로 해결됨.|롤스 제시문 사용
2018_SEPTEMBER_Q08|K||시민 불복종의 일반적 성격(공개적·비폭력적 위법 행위, 정책 변화 목적, 민주적 법도 대상 가능)|2-01-02:EX:시민불복종을 비롯한 시민 참여의 다양한 방안;;2-01-02:ST:시민의 권익 보호를 위한 시민 참여||정답이 시민 불복종의 기본 성격(공개성·비폭력·정책 개혁 목적·다수의 정의감 호소)으로 판단되어 시민 참여로서의 시민 불복종 이해로 해결됨.|롤스 제시문 사용
2019_CSAT_Q18|K||시민 불복종의 일반적 성격(공개적·비폭력적 위법 행위, 정책 변화 목적, 민주적 법도 대상 가능)|2-01-02:EX:시민불복종을 비롯한 시민 참여의 다양한 방안;;2-01-02:ST:시민의 권익 보호를 위한 시민 참여||정답이 시민 불복종의 기본 성격(공개성·비폭력·정책 개혁 목적·다수의 정의감 호소)으로 판단되어 시민 참여로서의 시민 불복종 이해로 해결됨.|롤스 제시문 사용
2020_JUNE_Q12|K||시민 불복종의 처벌 감수·정당한 근거(공유된 정의관, 개인 양심·종교 교리만으로는 불충분)|2-01-02:EX:시민불복종을 비롯한 시민 참여의 다양한 방안||정답이 처벌 수용, 공적 근거의 필요 등 시민 불복종 일반 요건으로 판단되나, '양심적이어도 정당하지 않을 수 있음'·종교 교리 배제는 롤스 세부와 경계.|롤스 세부와 일반 개념 혼재
2021_CSAT_Q12|K||시민 불복종의 처벌 감수·정당한 근거(공유된 정의관, 개인 양심·종교 교리만으로는 불충분)|2-01-02:EX:시민불복종을 비롯한 시민 참여의 다양한 방안||정답이 처벌 수용, 공적 근거의 필요 등 시민 불복종 일반 요건으로 판단되나, '양심적이어도 정당하지 않을 수 있음'·종교 교리 배제는 롤스 세부와 경계.|롤스 세부와 일반 개념 혼재
2019_JUNE_Q16|D|CD_DETAIL|소로 vs 롤스 시민 불복종||양심적 거부와 시민 불복종의 구별(롤스)|정답(양심에 충실한 거부라도 정당한 시민 불복종이 아닐 수 있음)이 양심적 거부와 시민 불복종의 철학적 구별에 의존함.|
2019_SEPTEMBER_Q19|D|CD_DETAIL|롤스 시민 불복종론의 대상·정당화 세부||불완전한 절차적 정의와 부정의한 법 준수 의무;정의 원칙(평등한 자유·공정한 기회균등) 위반에 국한되는 대상;자연적 의무와 체제 안정성;헌법 원칙에 의한 지도|정답이 롤스 정의론 체계 속 시민 불복종의 대상 범위·준법 의무 세부로 결정되어 시민 참여로서의 시민 불복종 개념을 넘어섬.|
2020_CSAT_Q18|D|CD_DETAIL|롤스 시민 불복종론의 대상·정당화 세부||불완전한 절차적 정의와 부정의한 법 준수 의무;정의 원칙(평등한 자유·공정한 기회균등) 위반에 국한되는 대상;자연적 의무와 체제 안정성;헌법 원칙에 의한 지도|정답이 롤스 정의론 체계 속 시민 불복종의 대상 범위·준법 의무 세부로 결정되어 시민 참여로서의 시민 불복종 개념을 넘어섬.|
2021_JUNE_Q11|D|CD_DETAIL|롤스 시민 불복종론의 대상·정당화 세부||불완전한 절차적 정의와 부정의한 법 준수 의무;정의 원칙(평등한 자유·공정한 기회균등) 위반에 국한되는 대상;자연적 의무와 체제 안정성;헌법 원칙에 의한 지도|정답이 롤스 정의론 체계 속 시민 불복종의 대상 범위·준법 의무 세부로 결정되어 시민 참여로서의 시민 불복종 개념을 넘어섬.|
2021_SEPTEMBER_Q07|D|CD_DETAIL|롤스 시민 불복종론의 대상·정당화 세부||불완전한 절차적 정의와 부정의한 법 준수 의무;정의 원칙(평등한 자유·공정한 기회균등) 위반에 국한되는 대상;자연적 의무와 체제 안정성;헌법 원칙에 의한 지도|정답이 롤스 정의론 체계 속 시민 불복종의 대상 범위·준법 의무 세부로 결정되어 시민 참여로서의 시민 불복종 개념을 넘어섬.|
2022_CSAT_Q03|D|CD_DETAIL|롤스 시민 불복종론의 대상·정당화 세부||불완전한 절차적 정의와 부정의한 법 준수 의무;정의 원칙(평등한 자유·공정한 기회균등) 위반에 국한되는 대상;자연적 의무와 체제 안정성;헌법 원칙에 의한 지도|정답이 롤스 정의론 체계 속 시민 불복종의 대상 범위·준법 의무 세부로 결정되어 시민 참여로서의 시민 불복종 개념을 넘어섬.|
2022_JUNE_Q16|D|CD_DETAIL|롤스 시민 불복종론의 대상·정당화 세부||불완전한 절차적 정의와 부정의한 법 준수 의무;정의 원칙(평등한 자유·공정한 기회균등) 위반에 국한되는 대상;자연적 의무와 체제 안정성;헌법 원칙에 의한 지도|정답이 롤스 정의론 체계 속 시민 불복종의 대상 범위·준법 의무 세부로 결정되어 시민 참여로서의 시민 불복종 개념을 넘어섬.|
2020_SEPTEMBER_Q07|D|CD_DETAIL|롤스 vs 소로 시민 불복종||정의 원칙이 불복종 대상에서 제외되는지(롤스);시민 불복종을 권리로 보는지 여부|오답 ㄴ(정의 원칙도 대상) 배제와 ㄹ(위법이지만 권리) 판단이 롤스 이론 세부에 의존함.|일반 요건과 세부 혼재
2022_SEPTEMBER_Q17|D|CD_DETAIL|롤스 vs 싱어(공리주의) 시민 불복종 정당화||차등 원칙 위반 정책의 대상 여부;종교의 자유 부정 법·간접적 불복종;합법적 민주적 권위에 대한 불복종;공리주의적 비용·편익 저울질|정답이 두 사상가의 정당화 논리와 대상 범위 세부로 결정됨.|
2023_JUNE_Q12|D|CD_DETAIL|롤스 vs 싱어(공리주의) 시민 불복종 정당화||차등 원칙 위반 정책의 대상 여부;종교의 자유 부정 법·간접적 불복종;합법적 민주적 권위에 대한 불복종;공리주의적 비용·편익 저울질|정답이 두 사상가의 정당화 논리와 대상 범위 세부로 결정됨.|
2023_SEPTEMBER_Q08|D|CD_DETAIL|롤스 vs 싱어(공리주의) 시민 불복종 정당화||차등 원칙 위반 정책의 대상 여부;종교의 자유 부정 법·간접적 불복종;합법적 민주적 권위에 대한 불복종;공리주의적 비용·편익 저울질|정답이 두 사상가의 정당화 논리와 대상 범위 세부로 결정됨.|
2023_CSAT_Q14|D|CD_DETAIL|롤스 vs 싱어(공리주의) 시민 불복종 정당화||차등 원칙 위반 정책의 대상 여부;종교의 자유 부정 법·간접적 불복종;합법적 민주적 권위에 대한 불복종;공리주의적 비용·편익 저울질|정답이 두 사상가의 정당화 논리와 대상 범위 세부로 결정됨.|
2024_CSAT_Q09|D|CD_DETAIL|롤스 시민 불복종의 성격||'법에 대한 충실성의 한계 내' 해석;부정의한 법 변혁의 목적·결과 구분|선지 판단이 롤스 개념의 미세한 해석에 의존해 시민 참여로서의 개념 이해로 해결되지 않음.|
2024_SEPTEMBER_Q07|D|CD_DETAIL|롤스 시민 불복종론의 대상·정당화 세부||직접적·간접적 불복종 구분;정의로운 체제의 안정성과 불복종 제한;헌법 원칙 위반 여부와 대상 범위;법에 대한 충실성 한계의 해석|선지가 모두 롤스 정의론 체계 안에서의 시민 불복종 세부 명제로 구성되어 시민 참여로서의 시민 불복종 이해만으로 정답을 판단할 수 없음.|
2026_CSAT_Q09|D|CD_DETAIL|롤스 시민 불복종론의 대상·정당화 세부||직접적·간접적 불복종 구분;정의로운 체제의 안정성과 불복종 제한;헌법 원칙 위반 여부와 대상 범위;법에 대한 충실성 한계의 해석|선지가 모두 롤스 정의론 체계 안에서의 시민 불복종 세부 명제로 구성되어 시민 참여로서의 시민 불복종 이해만으로 정답을 판단할 수 없음.|
2026_JUNE_Q06|D|CD_DETAIL|롤스 시민 불복종론의 대상·정당화 세부||직접적·간접적 불복종 구분;정의로운 체제의 안정성과 불복종 제한;헌법 원칙 위반 여부와 대상 범위;법에 대한 충실성 한계의 해석|선지가 모두 롤스 정의론 체계 안에서의 시민 불복종 세부 명제로 구성되어 시민 참여로서의 시민 불복종 이해만으로 정답을 판단할 수 없음.|
2027_SEPTEMBER_Q09|D|CD_DETAIL|롤스 시민 불복종론의 대상·정당화 세부||직접적·간접적 불복종 구분;정의로운 체제의 안정성과 불복종 제한;헌법 원칙 위반 여부와 대상 범위;법에 대한 충실성 한계의 해석|선지가 모두 롤스 정의론 체계 안에서의 시민 불복종 세부 명제로 구성되어 시민 참여로서의 시민 불복종 이해만으로 정답을 판단할 수 없음.|
2025_JUNE_Q14|D|CD_DETAIL|롤스·싱어·소로 시민 불복종 정당화 비교||롤스 정의 원칙 위반 대상 국한;싱어 공리주의적 비용·편익 저울질;소로 양심 우선의 세부 차이|흐름도/보기 판단이 세 사상가 정당화 논리의 세부 차이로 결정됨.|Phase 1 OCR 검토 문항
2027_JUNE_Q11|D|CD_DETAIL|롤스·싱어·소로 시민 불복종 정당화 비교||롤스 정의 원칙 위반 대상 국한;싱어 공리주의적 비용·편익 저울질;소로 양심 우선의 세부 차이|흐름도/보기 판단이 세 사상가 정당화 논리의 세부 차이로 결정됨.|Phase 1 OCR 검토 문항
2020_JUNE_Q18|K||성별에 따른 차별 해소와 여성의 기본권 보장|2-01-03:EX:성별 등을 이유로 차별받는 사회적 소수자;;2-01-01:ST:인권의 의미||여성 차별 철폐 논거의 판단은 사회적 소수자 차별 문제로 직접 해결됨.|
2014_CSAT_Q07|D|PHIL_JUSTICE|롤스·노직(및 공리주의·마르크스·아리스토텔레스) 분배 정의론 비교||원초적 입장 당사자 조건(상호 무관심·일반적 사실 인지);차등 원칙·공정한 기회균등의 세부;순수 절차적 정의;노직 취득·이전·교정 원리와 정형적/역사적 원리 구분;최소 국가론;재산 소유 민주주의;아리스토텔레스 비례적 정의;마르크스 필요에 따른 분배|선지 판단이 롤스·노직 등 특정 철학자의 이론 세부로 결정되어, 해설의 분배적 정의 기준(업적·능력·필요)과 자유주의·공동체주의 정의관 비교 수준을 넘어섬.|
2015_JUNE_Q15|D|PHIL_JUSTICE|롤스·노직(및 공리주의·마르크스·아리스토텔레스) 분배 정의론 비교||원초적 입장 당사자 조건(상호 무관심·일반적 사실 인지);차등 원칙·공정한 기회균등의 세부;순수 절차적 정의;노직 취득·이전·교정 원리와 정형적/역사적 원리 구분;최소 국가론;재산 소유 민주주의;아리스토텔레스 비례적 정의;마르크스 필요에 따른 분배|선지 판단이 롤스·노직 등 특정 철학자의 이론 세부로 결정되어, 해설의 분배적 정의 기준(업적·능력·필요)과 자유주의·공동체주의 정의관 비교 수준을 넘어섬.|
2016_CSAT_Q14|D|PHIL_JUSTICE|롤스·노직(및 공리주의·마르크스·아리스토텔레스) 분배 정의론 비교||원초적 입장 당사자 조건(상호 무관심·일반적 사실 인지);차등 원칙·공정한 기회균등의 세부;순수 절차적 정의;노직 취득·이전·교정 원리와 정형적/역사적 원리 구분;최소 국가론;재산 소유 민주주의;아리스토텔레스 비례적 정의;마르크스 필요에 따른 분배|선지 판단이 롤스·노직 등 특정 철학자의 이론 세부로 결정되어, 해설의 분배적 정의 기준(업적·능력·필요)과 자유주의·공동체주의 정의관 비교 수준을 넘어섬.|
2016_JUNE_Q05|D|PHIL_JUSTICE|롤스·노직(및 공리주의·마르크스·아리스토텔레스) 분배 정의론 비교||원초적 입장 당사자 조건(상호 무관심·일반적 사실 인지);차등 원칙·공정한 기회균등의 세부;순수 절차적 정의;노직 취득·이전·교정 원리와 정형적/역사적 원리 구분;최소 국가론;재산 소유 민주주의;아리스토텔레스 비례적 정의;마르크스 필요에 따른 분배|선지 판단이 롤스·노직 등 특정 철학자의 이론 세부로 결정되어, 해설의 분배적 정의 기준(업적·능력·필요)과 자유주의·공동체주의 정의관 비교 수준을 넘어섬.|
2016_SEPTEMBER_Q13|D|PHIL_JUSTICE|롤스·노직(및 공리주의·마르크스·아리스토텔레스) 분배 정의론 비교||원초적 입장 당사자 조건(상호 무관심·일반적 사실 인지);차등 원칙·공정한 기회균등의 세부;순수 절차적 정의;노직 취득·이전·교정 원리와 정형적/역사적 원리 구분;최소 국가론;재산 소유 민주주의;아리스토텔레스 비례적 정의;마르크스 필요에 따른 분배|선지 판단이 롤스·노직 등 특정 철학자의 이론 세부로 결정되어, 해설의 분배적 정의 기준(업적·능력·필요)과 자유주의·공동체주의 정의관 비교 수준을 넘어섬.|
2017_CSAT_Q18|D|PHIL_JUSTICE|롤스·노직(및 공리주의·마르크스·아리스토텔레스) 분배 정의론 비교||원초적 입장 당사자 조건(상호 무관심·일반적 사실 인지);차등 원칙·공정한 기회균등의 세부;순수 절차적 정의;노직 취득·이전·교정 원리와 정형적/역사적 원리 구분;최소 국가론;재산 소유 민주주의;아리스토텔레스 비례적 정의;마르크스 필요에 따른 분배|선지 판단이 롤스·노직 등 특정 철학자의 이론 세부로 결정되어, 해설의 분배적 정의 기준(업적·능력·필요)과 자유주의·공동체주의 정의관 비교 수준을 넘어섬.|
2017_SEPTEMBER_Q08|D|PHIL_JUSTICE|롤스·노직(및 공리주의·마르크스·아리스토텔레스) 분배 정의론 비교||원초적 입장 당사자 조건(상호 무관심·일반적 사실 인지);차등 원칙·공정한 기회균등의 세부;순수 절차적 정의;노직 취득·이전·교정 원리와 정형적/역사적 원리 구분;최소 국가론;재산 소유 민주주의;아리스토텔레스 비례적 정의;마르크스 필요에 따른 분배|선지 판단이 롤스·노직 등 특정 철학자의 이론 세부로 결정되어, 해설의 분배적 정의 기준(업적·능력·필요)과 자유주의·공동체주의 정의관 비교 수준을 넘어섬.|
2018_CSAT_Q09|D|PHIL_JUSTICE|롤스·노직(및 공리주의·마르크스·아리스토텔레스) 분배 정의론 비교||원초적 입장 당사자 조건(상호 무관심·일반적 사실 인지);차등 원칙·공정한 기회균등의 세부;순수 절차적 정의;노직 취득·이전·교정 원리와 정형적/역사적 원리 구분;최소 국가론;재산 소유 민주주의;아리스토텔레스 비례적 정의;마르크스 필요에 따른 분배|선지 판단이 롤스·노직 등 특정 철학자의 이론 세부로 결정되어, 해설의 분배적 정의 기준(업적·능력·필요)과 자유주의·공동체주의 정의관 비교 수준을 넘어섬.|
2018_JUNE_Q10|D|PHIL_JUSTICE|롤스·노직(및 공리주의·마르크스·아리스토텔레스) 분배 정의론 비교||원초적 입장 당사자 조건(상호 무관심·일반적 사실 인지);차등 원칙·공정한 기회균등의 세부;순수 절차적 정의;노직 취득·이전·교정 원리와 정형적/역사적 원리 구분;최소 국가론;재산 소유 민주주의;아리스토텔레스 비례적 정의;마르크스 필요에 따른 분배|선지 판단이 롤스·노직 등 특정 철학자의 이론 세부로 결정되어, 해설의 분배적 정의 기준(업적·능력·필요)과 자유주의·공동체주의 정의관 비교 수준을 넘어섬.|
2019_CSAT_Q14|D|PHIL_JUSTICE|롤스·노직(및 공리주의·마르크스·아리스토텔레스) 분배 정의론 비교||원초적 입장 당사자 조건(상호 무관심·일반적 사실 인지);차등 원칙·공정한 기회균등의 세부;순수 절차적 정의;노직 취득·이전·교정 원리와 정형적/역사적 원리 구분;최소 국가론;재산 소유 민주주의;아리스토텔레스 비례적 정의;마르크스 필요에 따른 분배|선지 판단이 롤스·노직 등 특정 철학자의 이론 세부로 결정되어, 해설의 분배적 정의 기준(업적·능력·필요)과 자유주의·공동체주의 정의관 비교 수준을 넘어섬.|
2019_JUNE_Q14|D|PHIL_JUSTICE|롤스·노직(및 공리주의·마르크스·아리스토텔레스) 분배 정의론 비교||원초적 입장 당사자 조건(상호 무관심·일반적 사실 인지);차등 원칙·공정한 기회균등의 세부;순수 절차적 정의;노직 취득·이전·교정 원리와 정형적/역사적 원리 구분;최소 국가론;재산 소유 민주주의;아리스토텔레스 비례적 정의;마르크스 필요에 따른 분배|선지 판단이 롤스·노직 등 특정 철학자의 이론 세부로 결정되어, 해설의 분배적 정의 기준(업적·능력·필요)과 자유주의·공동체주의 정의관 비교 수준을 넘어섬.|
2019_SEPTEMBER_Q15|D|PHIL_JUSTICE|롤스·노직(및 공리주의·마르크스·아리스토텔레스) 분배 정의론 비교||원초적 입장 당사자 조건(상호 무관심·일반적 사실 인지);차등 원칙·공정한 기회균등의 세부;순수 절차적 정의;노직 취득·이전·교정 원리와 정형적/역사적 원리 구분;최소 국가론;재산 소유 민주주의;아리스토텔레스 비례적 정의;마르크스 필요에 따른 분배|선지 판단이 롤스·노직 등 특정 철학자의 이론 세부로 결정되어, 해설의 분배적 정의 기준(업적·능력·필요)과 자유주의·공동체주의 정의관 비교 수준을 넘어섬.|
2020_CSAT_Q10|D|PHIL_JUSTICE|롤스·노직(및 공리주의·마르크스·아리스토텔레스) 분배 정의론 비교||원초적 입장 당사자 조건(상호 무관심·일반적 사실 인지);차등 원칙·공정한 기회균등의 세부;순수 절차적 정의;노직 취득·이전·교정 원리와 정형적/역사적 원리 구분;최소 국가론;재산 소유 민주주의;아리스토텔레스 비례적 정의;마르크스 필요에 따른 분배|선지 판단이 롤스·노직 등 특정 철학자의 이론 세부로 결정되어, 해설의 분배적 정의 기준(업적·능력·필요)과 자유주의·공동체주의 정의관 비교 수준을 넘어섬.|
2020_JUNE_Q15|D|PHIL_JUSTICE|롤스·노직(및 공리주의·마르크스·아리스토텔레스) 분배 정의론 비교||원초적 입장 당사자 조건(상호 무관심·일반적 사실 인지);차등 원칙·공정한 기회균등의 세부;순수 절차적 정의;노직 취득·이전·교정 원리와 정형적/역사적 원리 구분;최소 국가론;재산 소유 민주주의;아리스토텔레스 비례적 정의;마르크스 필요에 따른 분배|선지 판단이 롤스·노직 등 특정 철학자의 이론 세부로 결정되어, 해설의 분배적 정의 기준(업적·능력·필요)과 자유주의·공동체주의 정의관 비교 수준을 넘어섬.|
